Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	 Residual	Carbon dioxide CO2	Unit	 Compensation	 Residual	Carbon monoxide CO High	Unit	 Compensation	 Residual	Nitrous oxide N2O	Unit	 Compensation	 Residual	Nitrogen monoxide NO	Unit	 Compensation	 Residual	Nitrogen dioxide NO2	Unit	 Compensation	 Residual	Sulfur dioxide SO2 High	Unit	 Compensation	 Residual	Ammonia NH3	Unit	 Compensation	 Residual	Hydrogen chloride HCl	Unit	 Compensation	 Residual	Hydrogen fluoride HF	Unit	 Compensation	 Residual	Methane CH4 High	Unit	 Compensation	 Residual	Ethane C2H6	Unit	 Compensation	 Residual	Ethylene C2H4	Unit	 Compensation	 Residual	Propane C3H8	Unit	 Compensation	 Residual	Formaldehyde CHOH	Unit	 Compensation	 Residual	Benzen	Unit	 Compensation	 Residual	Toluen	Unit	 Compensation	 Residual	Carbon monoxide CO Low	Unit	 Compensation	 Residual	Sulfur dioxide Low	Unit	 Compensation	 Residual	Methane Low	Unit	 Compensation	 Residual	Zr Oxygen	Unit	 Compensation	 Residual	 Status
0	2022-10-19	10:05:57		EC1.LIB	  4.81	vol-%	Wet	0.0339	  6.79	vol-%	Wet	0.0062	  0.84	vol-%	Wet	0.0141	  7.15	ppm	Wet	0.0129	140.18	ppm	Wet	0.0118	  0.00	ppm	Wet	0.0015	  0.00	ppm	Wet	0.0384	 26.11	ppm	Wet	0.0066	  7.26	ppm	Wet	0.0010	  2.03	ppm	Wet	0.0495	454.97	ppm	Wet	0.0427	 18.97	ppm	Wet	0.0313	179.48	ppm	Wet	0.0062	  0.00	ppm	Wet	0.0365	 17.54	ppm	Wet	0.0010	 58.64	ppm	Wet	0.0254	  0.00	ppm	Wet	0.0261	8371.94	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	454.97	ppm	Wet	0.0000	  8.87	vol-%	Wet	0.0000	Error
0	2022-10-19	10:06:08		EC1.LIB	  5.14	vol-%	Wet	0.0331	  6.96	vol-%	Wet	0.0076	  0.87	vol-%	Wet	0.0146	  8.65	ppm	Wet	0.0128	144.12	ppm	Wet	0.0119	  0.00	ppm	Wet	0.0020	  0.00	ppm	Wet	0.0401	 25.55	ppm	Wet	0.0082	  7.20	ppm	Wet	0.0013	  1.74	ppm	Wet	0.0505	533.75	ppm	Wet	0.0448	 26.29	ppm	Wet	0.0353	216.37	ppm	Wet	0.0077	  0.00	ppm	Wet	0.0436	 21.44	ppm	Wet	0.0013	 66.92	ppm	Wet	0.0323	  0.00	ppm	Wet	0.0309	8679.03	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	533.75	ppm	Wet	0.0000	  8.79	vol-%	Wet	0.0000	Error
0	2022-10-19	10:06:19		EC1.LIB	  5.84	vol-%	Wet	0.0271	  7.15	vol-%	Wet	0.0062	  0.67	vol-%	Wet	0.0146	 10.55	ppm	Wet	0.0127	146.99	ppm	Wet	0.0115	  1.00	ppm	Wet	0.0014	  0.00	ppm	Wet	0.0380	 26.51	ppm	Wet	0.0066	  6.93	ppm	Wet	0.0011	  1.10	ppm	Wet	0.0435	363.93	ppm	Wet	0.0370	 11.78	ppm	Wet	0.0310	133.86	ppm	Wet	0.0063	  0.00	ppm	Wet	0.0349	 17.60	ppm	Wet	0.0011	 56.11	ppm	Wet	0.0225	  0.00	ppm	Wet	0.0217	6693.47	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	363.93	ppm	Wet	0.0000	  9.03	vol-%	Wet	0.0000	Error
0	2022-10-19	10:06:31		EC1.LIB	  6.18	vol-%	Wet	0.0277	  7.13	vol-%	Wet	0.0051	  0.63	vol-%	Wet	0.0147	 11.25	ppm	Wet	0.0128	143.65	ppm	Wet	0.0113	  3.10	ppm	Wet	0.0012	  0.00	ppm	Wet	0.0360	 28.32	ppm	Wet	0.0052	  7.65	ppm	Wet	0.0009	  0.78	ppm	Wet	0.0412	268.84	ppm	Wet	0.0350	  9.88	ppm	Wet	0.0279	105.63	ppm	Wet	0.0052	  0.00	ppm	Wet	0.0307	 17.15	ppm	Wet	0.0009	 47.48	ppm	Wet	0.0244	  0.00	ppm	Wet	0.0225	6306.24	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	268.84	ppm	Wet	0.0000	  9.30	vol-%	Wet	0.0000	Error
0	2022-10-19	10:06:38		EC1.LIB	  6.13	vol-%	Wet	0.0277	  6.91	vol-%	Wet	0.0053	  0.66	vol-%	Wet	0.0149	  9.91	ppm	Wet	0.0131	137.99	ppm	Wet	0.0114	  0.00	ppm	Wet	0.0015	  0.00	ppm	Wet	0.0385	 27.43	ppm	Wet	0.0056	  7.02	ppm	Wet	0.0010	  1.35	ppm	Wet	0.0441	275.13	ppm	Wet	0.0373	 11.74	ppm	Wet	0.0274	116.05	ppm	Wet	0.0053	  0.00	ppm	Wet	0.0306	 17.11	ppm	Wet	0.0011	 49.98	ppm	Wet	0.0194	  0.00	ppm	Wet	0.0200	6564.27	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	275.13	ppm	Wet	0.0000	  9.57	vol-%	Wet	0.0000	Error
0	2022-10-19	10:06:48		EC1.LIB	  6.43	vol-%	Wet	0.0250	  6.72	vol-%	Wet	0.0047	  0.55	vol-%	Wet	0.0139	  9.08	ppm	Wet	0.0122	137.01	ppm	Wet	0.0110	  1.67	ppm	Wet	0.0012	  0.00	ppm	Wet	0.0355	 28.28	ppm	Wet	0.0048	  7.43	ppm	Wet	0.0009	  0.91	ppm	Wet	0.0375	228.94	ppm	Wet	0.0318	  7.20	ppm	Wet	0.0253	 88.68	ppm	Wet	0.0048	  0.00	ppm	Wet	0.0263	 15.10	ppm	Wet	0.0009	 43.08	ppm	Wet	0.0192	  0.00	ppm	Wet	0.0175	5477.59	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	228.94	ppm	Wet	0.0000	 10.14	vol-%	Wet	0.0000	Error
0	2022-10-19	10:06:59		EC1.LIB	  7.16	vol-%	Wet	0.0181	  6.58	vol-%	Wet	0.0034	  0.38	vol-%	Wet	0.0127	  9.39	ppm	Wet	0.0114	131.96	ppm	Wet	0.0097	  1.04	ppm	Wet	0.0007	  0.00	ppm	Wet	0.0243	 28.18	ppm	Wet	0.0034	  7.46	ppm	Wet	0.0006	  0.42	ppm	Wet	0.0239	158.15	ppm	Wet	0.0205	  5.14	ppm	Wet	0.0180	 49.07	ppm	Wet	0.0034	  0.00	ppm	Wet	0.0180	 12.16	ppm	Wet	0.0006	 29.27	ppm	Wet	0.0144	  0.00	ppm	Wet	0.0131	3776.29	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	158.15	ppm	Wet	0.0000	 10.72	vol-%	Wet	0.0000	Error
0	2022-10-19	10:07:11		EC1.LIB	  7.07	vol-%	Wet	0.0192	  6.44	vol-%	Wet	0.0034	  0.43	vol-%	Wet	0.0133	  9.65	ppm	Wet	0.0120	129.26	ppm	Wet	0.0101	  1.71	ppm	Wet	0.0007	  0.00	ppm	Wet	0.0252	 27.76	ppm	Wet	0.0034	  7.50	ppm	Wet	0.0006	  0.28	ppm	Wet	0.0255	173.66	ppm	Wet	0.0218	  5.61	ppm	Wet	0.0187	 54.79	ppm	Wet	0.0034	  0.00	ppm	Wet	0.0185	 12.35	ppm	Wet	0.0006	 28.79	ppm	Wet	0.0172	  0.00	ppm	Wet	0.0161	4301.62	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	173.66	ppm	Wet	0.0000	 10.46	vol-%	Wet	0.0000	Error
0	2022-10-19	10:07:24		EC1.LIB	  5.77	vol-%	Wet	0.0324	  5.96	vol-%	Wet	0.0070	  0.84	vol-%	Wet	0.0152	  7.87	ppm	Wet	0.0132	131.81	ppm	Wet	0.0121	  0.00	ppm	Wet	0.0019	  0.00	ppm	Wet	0.0402	 25.33	ppm	Wet	0.0075	  6.94	ppm	Wet	0.0013	  1.58	ppm	Wet	0.0504	514.56	ppm	Wet	0.0439	 23.22	ppm	Wet	0.0345	209.92	ppm	Wet	0.0070	  0.00	ppm	Wet	0.0407	 19.74	ppm	Wet	0.0013	 62.75	ppm	Wet	0.0310	  0.00	ppm	Wet	0.0301	8431.49	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	514.56	ppm	Wet	0.0000	  9.50	vol-%	Wet	0.0000	Error
0	2022-10-19	10:07:31		EC1.LIB	  5.54	vol-%	Wet	0.0370	  5.85	vol-%	Wet	0.0096	  0.97	vol-%	Wet	0.0154	  7.30	ppm	Wet	0.0133	135.10	ppm	Wet	0.0125	  1.29	ppm	Wet	0.0023	  0.00	ppm	Wet	0.0440	 24.30	ppm	Wet	0.0102	  6.94	ppm	Wet	0.0015	  2.05	ppm	Wet	0.0572	784.57	ppm	Wet	0.0488	 30.10	ppm	Wet	0.0435	278.44	ppm	Wet	0.0097	  0.00	ppm	Wet	0.0516	 23.27	ppm	Wet	0.0016	 78.67	ppm	Wet	0.0401	  0.00	ppm	Wet	0.0393	9737.07	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	784.57	ppm	Wet	0.0000	  9.54	vol-%	Wet	0.0000	Error
0	2022-10-19	10:07:41		EC1.LIB	  5.86	vol-%	Wet	0.0324	  5.82	vol-%	Wet	0.0093	  0.90	vol-%	Wet	0.0152	  7.48	ppm	Wet	0.0131	139.08	ppm	Wet	0.0120	  0.00	ppm	Wet	0.0023	  0.00	ppm	Wet	0.0425	 24.93	ppm	Wet	0.0100	  6.31	ppm	Wet	0.0017	  1.67	ppm	Wet	0.0526	624.84	ppm	Wet	0.0478	 33.56	ppm	Wet	0.0395	263.30	ppm	Wet	0.0094	  0.00	ppm	Wet	0.0488	 23.97	ppm	Wet	0.0017	 75.96	ppm	Wet	0.0332	  0.00	ppm	Wet	0.0349	9025.85	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	624.84	ppm	Wet	0.0000	  9.97	vol-%	Wet	0.0000	Error
0	2022-10-19	10:07:53		EC1.LIB	  6.13	vol-%	Wet	0.0284	  5.90	vol-%	Wet	0.0071	  0.73	vol-%	Wet	0.0147	  7.46	ppm	Wet	0.0129	135.01	ppm	Wet	0.0117	  0.24	ppm	Wet	0.0020	  0.00	ppm	Wet	0.0415	 26.33	ppm	Wet	0.0077	  7.48	ppm	Wet	0.0013	  1.20	ppm	Wet	0.0467	493.40	ppm	Wet	0.0399	 20.65	ppm	Wet	0.0324	180.41	ppm	Wet	0.0072	  0.00	ppm	Wet	0.0375	 18.93	ppm	Wet	0.0014	 61.55	ppm	Wet	0.0212	  0.00	ppm	Wet	0.0242	7271.38	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	493.40	ppm	Wet	0.0000	 10.45	vol-%	Wet	0.0000	Error
0	2022-10-19	10:08:05		EC1.LIB	  6.29	vol-%	Wet	0.0263	  5.85	vol-%	Wet	0.0055	  0.62	vol-%	Wet	0.0144	  7.39	ppm	Wet	0.0128	126.17	ppm	Wet	0.0115	  0.00	ppm	Wet	0.0015	  0.00	ppm	Wet	0.0383	 27.34	ppm	Wet	0.0055	  6.78	ppm	Wet	0.0011	  0.79	ppm	Wet	0.0422	311.82	ppm	Wet	0.0359	 12.04	ppm	Wet	0.0275	116.25	ppm	Wet	0.0056	  0.00	ppm	Wet	0.0303	 15.65	ppm	Wet	0.0011	 49.04	ppm	Wet	0.0208	  0.00	ppm	Wet	0.0210	6171.93	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	311.82	ppm	Wet	0.0000	 10.87	vol-%	Wet	0.0000	Error
0	2022-10-19	10:08:12		EC1.LIB	  6.59	vol-%	Wet	0.0220	  5.85	vol-%	Wet	0.0041	  0.49	vol-%	Wet	0.0138	  7.28	ppm	Wet	0.0124	117.82	ppm	Wet	0.0108	  0.12	ppm	Wet	0.0010	  0.00	ppm	Wet	0.0318	 28.04	ppm	Wet	0.0041	  7.52	ppm	Wet	0.0007	  0.84	ppm	Wet	0.0339	185.87	ppm	Wet	0.0288	  6.08	ppm	Wet	0.0214	 65.48	ppm	Wet	0.0042	  0.00	ppm	Wet	0.0216	 12.53	ppm	Wet	0.0007	 37.18	ppm	Wet	0.0146	  0.00	ppm	Wet	0.0155	4880.93	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	185.87	ppm	Wet	0.0000	 11.06	vol-%	Wet	0.0000	Error
0	2022-10-19	10:08:22		EC1.LIB	  6.72	vol-%	Wet	0.0190	  5.81	vol-%	Wet	0.0033	  0.44	vol-%	Wet	0.0133	  7.06	ppm	Wet	0.0121	115.82	ppm	Wet	0.0104	  1.43	ppm	Wet	0.0009	  0.00	ppm	Wet	0.0268	 27.99	ppm	Wet	0.0033	  7.21	ppm	Wet	0.0006	  0.57	ppm	Wet	0.0291	139.34	ppm	Wet	0.0249	  2.08	ppm	Wet	0.0185	 44.75	ppm	Wet	0.0033	  0.00	ppm	Wet	0.0170	 10.75	ppm	Wet	0.0006	 31.55	ppm	Wet	0.0095	  0.00	ppm	Wet	0.0147	4395.96	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	139.34	ppm	Wet	0.0000	 11.38	vol-%	Wet	0.0000	Error
